year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancel_rate,divert_rate,date,delay_category
2025,6,AS,Alaska Airlines Network,SCC,"Deadhorse, AK: Deadhorse Airport",43,5,0.1,1.91,0.7,0.0,2.29,0,0,321.0,2.0,246.0,19.0,0.0,54.0,0.11627906976744186,0.0,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,SEA,"Seattle, WA: Seattle/Tacoma International",7151,2317,345.87,65.56,919.02,20.61,965.94,71,5,123562.0,26370.0,4250.0,35473.0,1117.0,56352.0,0.324010627884212,0.009928681303314221,0.0006992029086841001,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,SFO,"San Francisco, CA: San Francisco International",1032,362,55.64,13.76,116.81,1.26,174.53,13,2,20166.0,3461.0,1114.0,5215.0,68.0,10308.0,0.3507751937984496,0.012596899224806201,0.001937984496124031,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,SIT,"Sitka, AK: Sitka Rocky Gutierrez",150,38,7.38,0.0,9.41,0.0,21.21,1,0,1817.0,313.0,0.0,337.0,0.0,1167.0,0.25333333333333335,0.006666666666666667,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",209,61,14.25,0.0,8.22,0.0,38.53,6,0,2548.0,772.0,0.0,292.0,0.0,1484.0,0.291866028708134,0.028708133971291867,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,SLC,"Salt Lake City, UT: Salt Lake City International",111,38,11.48,0.0,8.18,0.0,18.34,1,0,1490.0,381.0,0.0,282.0,0.0,827.0,0.34234234234234234,0.009009009009009009,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,SMF,"Sacramento, CA: Sacramento International",120,46,5.86,0.0,6.66,0.64,32.85,0,0,2116.0,408.0,0.0,220.0,78.0,1410.0,0.38333333333333336,0.0,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",372,61,22.9,0.0,15.57,0.03,22.5,4,0,2638.0,1235.0,0.0,507.0,2.0,894.0,0.1639784946236559,0.010752688172043012,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,STL,"St. Louis, MO: St Louis Lambert International",90,39,10.61,0.0,11.27,0.46,16.65,0,1,1661.0,564.0,0.0,343.0,32.0,722.0,0.43333333333333335,0.0,0.011111111111111112,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",30,13,5.13,0.0,2.3,0.0,5.57,0,0,758.0,502.0,0.0,44.0,0.0,212.0,0.43333333333333335,0.0,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,TPA,"Tampa, FL: Tampa International",90,31,9.49,0.0,9.85,0.0,11.66,0,1,1487.0,625.0,0.0,385.0,0.0,477.0,0.34444444444444444,0.0,0.011111111111111112,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,TUS,"Tucson, AZ: Tucson International",30,6,2.0,0.0,2.31,0.0,1.69,0,0,133.0,36.0,0.0,52.0,0.0,45.0,0.2,0.0,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,WRG,"Wrangell, AK: Wrangell Airport",60,15,1.9,0.0,1.51,0.0,11.59,0,0,524.0,53.0,0.0,30.0,0.0,441.0,0.25,0.0,0.0,2025-06-01,poor
2025,6,AS,Alaska Airlines Network,YAK,"Yakutat, AK: Yakutat Airport",60,11,2.75,0.0,0.98,0.0,7.27,0,1,532.0,79.0,0.0,31.0,0.0,422.0,0.18333333333333332,0.0,0.016666666666666666,2025-06-01,poor
2025,6,B6,JetBlue Airways,ABQ,"Albuquerque, NM: Albuquerque International Sunport",30,11,3.08,0.04,5.17,0.0,2.71,1,0,998.0,295.0,1.0,357.0,0.0,345.0,0.36666666666666664,0.03333333333333333,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,ACK,"Nantucket, MA: Nantucket Memorial",148,27,8.61,4.0,5.99,0.0,8.4,8,1,2545.0,376.0,1158.0,293.0,0.0,718.0,0.18243243243243243,0.05405405405405406,0.006756756756756757,2025-06-01,poor
2025,6,B6,JetBlue Airways,ALB,"Albany, NY: Albany International",68,14,4.02,0.85,6.7,0.0,2.43,0,1,848.0,272.0,80.0,234.0,0.0,262.0,0.20588235294117646,0.0,0.014705882352941176,2025-06-01,poor
2025,6,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",176,55,18.27,0.93,21.24,0.0,14.56,4,1,4826.0,1535.0,81.0,1922.0,0.0,1288.0,0.3125,0.022727272727272728,0.005681818181818182,2025-06-01,poor
2025,6,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",30,10,1.64,0.14,7.06,0.0,1.15,0,2,611.0,102.0,3.0,415.0,0.0,91.0,0.3333333333333333,0.0,0.06666666666666667,2025-06-01,poor
2025,6,B6,JetBlue Airways,AVL,"Asheville, NC: Asheville Regional",13,3,0.33,0.0,1.1,0.0,1.57,0,0,118.0,13.0,0.0,42.0,0.0,63.0,0.23076923076923078,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,BDL,"Hartford, CT: Bradley International",299,75,21.92,5.35,20.39,1.0,26.35,0,0,4524.0,1523.0,194.0,791.0,48.0,1968.0,0.2508361204013378,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,BNA,"Nashville, TN: Nashville International",150,54,23.63,0.23,10.42,1.0,18.72,2,3,4874.0,2084.0,9.0,592.0,692.0,1497.0,0.36,0.013333333333333334,0.02,2025-06-01,poor
2025,6,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",3199,972,212.83,16.93,376.47,1.77,364.0,14,8,80109.0,19930.0,1256.0,20995.0,259.0,37669.0,0.3038449515473586,0.00437636761487965,0.0025007814942169426,2025-06-01,poor
2025,6,B6,JetBlue Airways,BQN,"Aguadilla, PR: Rafael Hernandez",143,42,19.58,0.0,8.07,0.0,14.35,1,1,2121.0,1051.0,0.0,228.0,0.0,842.0,0.2937062937062937,0.006993006993006993,0.006993006993006993,2025-06-01,poor
2025,6,B6,JetBlue Airways,BUF,"Buffalo, NY: Buffalo Niagara International",319,88,36.31,3.21,20.1,0.0,28.37,3,0,6745.0,2439.0,337.0,880.0,0.0,3089.0,0.27586206896551724,0.009404388714733543,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,BUR,"Burbank, CA: Bob Hope",30,18,6.21,0.0,9.26,0.0,2.53,0,1,1413.0,504.0,0.0,634.0,0.0,275.0,0.6,0.0,0.03333333333333333,2025-06-01,poor
2025,6,B6,JetBlue Airways,BZN,"Bozeman, MT: Bozeman Yellowstone International",33,7,1.01,0.0,4.08,0.0,1.91,0,0,538.0,21.0,0.0,139.0,0.0,378.0,0.21212121212121213,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,CHS,"Charleston, SC: Charleston AFB/International",134,46,15.64,0.0,21.24,0.0,9.12,0,1,3470.0,1319.0,0.0,1300.0,0.0,851.0,0.34328358208955223,0.0,0.007462686567164179,2025-06-01,poor
2025,6,B6,JetBlue Airways,CLE,"Cleveland, OH: Cleveland-Hopkins International",79,26,8.44,0.0,4.36,0.0,13.2,0,0,1422.0,449.0,0.0,140.0,0.0,833.0,0.3291139240506329,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",555,204,43.78,6.31,110.14,0.28,43.49,3,6,16757.0,3117.0,707.0,7741.0,40.0,5152.0,0.3675675675675676,0.005405405405405406,0.010810810810810811,2025-06-01,poor
2025,6,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",130,43,9.18,0.0,23.02,0.0,10.8,0,0,2458.0,657.0,0.0,1030.0,0.0,771.0,0.33076923076923076,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",30,11,1.83,0.39,5.47,0.0,3.31,0,1,878.0,60.0,93.0,319.0,0.0,406.0,0.36666666666666664,0.0,0.03333333333333333,2025-06-01,poor
2025,6,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County",111,42,17.06,1.16,10.61,0.0,13.17,0,0,3242.0,1136.0,44.0,636.0,0.0,1426.0,0.3783783783783784,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",482,134,19.15,7.32,67.36,0.16,40.01,2,5,13016.0,1651.0,406.0,6507.0,4.0,4448.0,0.27800829875518673,0.004149377593360996,0.01037344398340249,2025-06-01,poor
2025,6,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1304,327,91.02,9.84,121.26,0.0,104.89,6,6,25102.0,6386.0,1344.0,6710.0,0.0,10662.0,0.25076687116564417,0.004601226993865031,0.004601226993865031,2025-06-01,poor
2025,6,B6,JetBlue Airways,HPN,"White Plains, NY: Westchester County",450,94,28.15,3.96,21.27,0.0,40.62,5,4,8626.0,2355.0,273.0,838.0,0.0,5160.0,0.2088888888888889,0.011111111111111112,0.008888888888888889,2025-06-01,poor
2025,6,B6,JetBlue Airways,HYA,"Hyannis, MA: Cape Cod Gateway",5,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06-01,good
2025,6,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",61,13,2.75,0.0,7.41,0.0,2.84,0,1,848.0,106.0,0.0,570.0,0.0,172.0,0.21311475409836064,0.0,0.01639344262295082,2025-06-01,poor
2025,6,B6,JetBlue Airways,ILM,"Wilmington, NC: Wilmington International",30,2,1.98,0.0,0.02,0.0,0.0,0,0,305.0,301.0,0.0,4.0,0.0,0.0,0.06666666666666667,0.0,0.0,2025-06-01,moderate
2025,6,B6,JetBlue Airways,ISP,"Islip, NY: Long Island MacArthur",82,14,4.89,1.33,5.96,0.0,1.82,0,0,818.0,391.0,73.0,174.0,0.0,180.0,0.17073170731707318,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,JAX,"Jacksonville, FL: Jacksonville International",120,40,14.15,1.0,10.17,0.0,14.68,1,1,3379.0,990.0,132.0,558.0,0.0,1699.0,0.3333333333333333,0.008333333333333333,0.008333333333333333,2025-06-01,poor
2025,6,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3130,951,234.12,18.93,408.36,0.42,289.17,41,17,83543.0,21434.0,1939.0,28904.0,19.0,31247.0,0.3038338658146965,0.013099041533546326,0.005431309904153354,2025-06-01,poor
2025,6,B6,JetBlue Airways,LAS,"Las Vegas, NV: Harry Reid International",247,49,12.04,0.95,25.92,0.0,10.08,1,1,3067.0,700.0,174.0,1424.0,0.0,769.0,0.19838056680161945,0.004048582995951417,0.004048582995951417,2025-06-01,poor
2025,6,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",685,142,37.45,3.68,55.61,0.0,45.27,1,0,11011.0,2881.0,528.0,2944.0,0.0,4658.0,0.2072992700729927,0.00145985401459854,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",348,124,29.08,9.06,62.94,0.25,22.67,2,7,9232.0,1436.0,938.0,4578.0,25.0,2255.0,0.3563218390804598,0.005747126436781609,0.020114942528735632,2025-06-01,poor
2025,6,B6,JetBlue Airways,MCO,"Orlando, FL: Orlando International",1490,393,97.46,5.14,172.43,1.0,116.97,6,13,33266.0,7116.0,1127.0,11483.0,19.0,13521.0,0.26375838926174494,0.004026845637583893,0.0087248322147651,2025-06-01,poor
2025,6,B6,JetBlue Airways,MHT,"Manchester, NH: Manchester Boston Regional",43,7,1.96,0.71,0.62,0.0,3.71,0,0,664.0,111.0,145.0,89.0,0.0,319.0,0.16279069767441862,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,MIA,"Miami, FL: Miami International",75,28,6.52,0.0,10.19,0.0,11.28,0,0,1554.0,342.0,0.0,379.0,0.0,833.0,0.37333333333333335,0.0,0.0,2025-06-01,poor
2025,6,B6,JetBlue Airways,MKE,"Milwaukee, WI: General Mitchell International",30,7,2.99,0.0,1.77,0.0,2.24,0,0,463.0,188.0,0.0,103.0,0.0,172.0,0.23333333333333334,0.0,0.0,2025-06-01,poor
